ID,分類,回答者,相談文（入力例）,暫定_緊急度,暫定_カテゴリ,暫定_進行度,ねらい・確認したい点,専門家_緊急度,専門家_カテゴリ,専門家_進行度,専門家コメント
E01,緊急（せん妄・脳血管）,家族,数日前から急にぼんやりして、呼びかけても反応が鈍いです。,emergency,kyukyu,unknown,急性発症＋意識の変化。確認質問を経ず即救急としてよい典型例,,,,
E02,緊急（頭部外傷後）,家族,昨日転んで頭を打ってから、様子がおかしく、同じことを何度も言います。,emergency,kyukyu,unknown,転倒＋打撲後の変化。慢性硬膜下血腫等を想定,,,,
E03,緊急（脳卒中疑い）,家族,今朝から片方の手足が動かしにくく、ろれつが回っていません。,emergency,kyukyu,unknown,局所神経症状。認知症の相談ではなく救急,,,,
E04,緊急（感染＋せん妄）,家族,昨日から38度の熱があり、急に混乱して夜中に騒ぎます。,emergency,kyukyu,unknown,発熱＋急性の混乱。身体疾患の除外が先,,,,
E05,緊急（けいれん）,家族,けいれんのような発作を起こして、しばらく反応がありませんでした。,emergency,kyukyu,unknown,けいれん＋意識消失,,,,
C01,紛らわしい（ふらつき）,家族,少しふらふらすることがあるようです。転んだことはありません。,routine,kakaritsuke,unknown,「ふらふら」を意識障害と誤認しないか。程度表現「少し」も評価,,,,
C02,紛らわしい（ふらつき・本人）,本人,立ち上がるときにふらつくことがありますが、頭ははっきりしています。,routine,kakaritsuke,unknown,起立時のふらつき。意識清明の明示に反応できるか,,,,
C03,紛らわしい（否定表現）,家族,熱はありません。ただ最近もの忘れが増えました。,routine,monowasure,early,「熱」の否定を発熱として拾わないか,,,,
C04,紛らわしい（急に＋緩徐）,家族,急に怒りっぽくなった気がします。ここ半年くらいでだんだんと。,routine,senmonkikan,moderate,「急に」の語だけで急性発症と判断しないか。経過は半年,,,,
C05,紛らわしい（大丈夫の強調）,家族,本人は大丈夫と言いますが、私から見ると明らかに変わりました。,routine,monowasure,early,本人の取り繕いと家族の観察の食い違い,,,,
N01,可逆性の疑い（iNPH）,家族,よく転ぶようになり、すり足で歩きます。尿もれもあります。,urgent,senmonkikan,early,歩行障害・尿失禁・認知の3徴。鑑別診断の推奨（緊急ではない）,,,,
N02,可逆性の疑い（部分）,家族,歩幅が狭くなって、方向転換のときによろけます。もの忘れも少し。,urgent,senmonkikan,early,3徴の一部。緊急ではないが鑑別を要する,,,,
B01,BPSD（物盗られ妄想）,家族,財布を盗られたと言って毎日責められます。もう疲れました。,urgent,senmonkikan,moderate,妄想＋介護者の疲弊。レスパイトの案内も必要か,,,,
B02,BPSD（徘徊）,家族,夜中に家を出ていこうとします。目が離せません。,urgent,senmonkikan,moderate,徘徊。安全確保の緊急性をどう評価するか,,,,
B03,BPSD（幻視）,家族,いない人が見えると言います。夕方になると落ち着かなくなります。,urgent,senmonkikan,moderate,幻視・日内変動。鑑別上の意味づけを確認したい,,,,
B04,BPSD（介護抵抗）,家族,入浴を嫌がり、介助しようとすると叩かれることもあります。,urgent,senmonkikan,moderate,介護抵抗＋介護者の安全,,,,
M01,初期・本人,本人,最近もの忘れが気になります。生活は普通にできています。,routine,monowasure,early,MCI相当。本人への伝え方が最もデリケートな例,,,,
M02,初期・本人,本人,同じ話を繰り返していると家族に言われました。自覚はあまりありません。,routine,monowasure,early,病識の乏しさ。本人経路の配慮,,,,
M03,初期・家族,家族,同じことを何度も聞きます。半年前くらいからです。,routine,monowasure,early,典型的な初発相談,,,,
M04,初期〜中等度（IADL）,家族,料理の段取りが悪くなり、鍋を焦がすことが増えました。,routine,monowasure,early,IADL低下（FAST4相当）。火の不始末の危険性の扱い,,,,
M05,初期（金銭管理）,家族,お金の管理ができなくなり、通帳を何度も探します。,routine,monowasure,early,金銭管理の障害。経済的被害の予防も論点,,,,
S01,中等度（着衣）,家族,真夏なのに厚着をします。服の前後を間違えることもあります。,routine,senmonkikan,moderate,FAST5相当。初期と中期の境目,,,,
S02,中等度（診断済・介護）,家族,診断は受けて薬も飲んでいますが、最近介護が大変になってきました。,routine,houkatsu,moderate,診断済み。医療より介護資源の相談が主か,,,,
S03,中等度（在宅で悪化）,家族,デイサービスには行っていますが、家では暴言が増えました。,urgent,senmonkikan,moderate,サービス利用中のBPSD悪化,,,,
V01,重度（ADL全介助）,家族,入浴も排泄も介助が必要で、言葉もほとんど出ません。,routine,kakaritsuke,severe,FAST6-7相当。通院可能性・訪問診療の要否,,,,
V02,重度（嚥下）,家族,ほぼ寝たきりで、食事のときにむせるようになってきました。,urgent,kakaritsuke,severe,誤嚥のリスク評価。緊急度の判断を伺いたい,,,,
H01,介護・制度相談,家族,診断は済んでいます。介護保険の使い方が分からず困っています。,routine,houkatsu,unknown,医療ではなく地域包括への誘導が適切か,,,,
H02,独居の心配,家族,一人暮らしの母が心配です。まだ受診はしていません。,routine,houkatsu,unknown,受診前段階。まず誰に相談すべきか,,,,
H03,介護者自身,家族,介護で疲れてしまい、自分が倒れそうです。,routine,houkatsu,unknown,介護者のケアが主訴。レスパイトの案内,,,,
H04,受診拒否,家族,本人が受診を嫌がります。どうすればいいですか。,routine,houkatsu,unknown,受診につなげる支援。医療機関の提示だけでは不十分,,,,
I01,情報不足（本人）,本人,なんとなく不安です。,routine,kakaritsuke,unknown,情報が薄い。推定せず慎重側に倒せるか,,,,
I02,情報不足（家族）,家族,母のことで相談したいです。,routine,kakaritsuke,unknown,追加質問で情報を引き出せるか,,,,
I03,情報不足（否定的）,家族,特にないですが、一応聞きたくて。,routine,kakaritsuke,unknown,「特にない」の連続に対する挙動,,,,
